feature_and_range,contribution
worst concave points > 0.16,-0.2917402801408433
worst texture > 29.37,-0.19554759276982203
worst perimeter > 124.95,-0.18363001070504736
area error > 44.77,-0.17707143794222718
worst area > 1033.50,-0.16067982889072432
worst radius > 18.55,-0.13690084137951952
mean concave points > 0.07,-0.1082105572129061
mean texture > 21.71,-0.07480610823592118
mean area > 770.05,-0.0704352190323945
worst concavity > 0.39,-0.04834099108673208
radius error > 0.47,-0.039563218601517805
perimeter error > 3.26,-0.037399208415175675
